"race","ethnicity","gender","age","age_unit"
"Asian","Not Hispanic or Latino","Female","289","Months"
"Asian","Not Hispanic or Latino","Female","232","Months"
"Asian","Not Hispanic or Latino","Female","251","Months"
"Asian","Not Hispanic or Latino","Female","266","Months"
"Asian","Not Hispanic or Latino","Male","264","Months"
"Asian","Not Hispanic or Latino","Female","229","Months"
"Asian","Not Hispanic or Latino","Female","238","Months"
"Asian","Not Hispanic or Latino","Female","239","Months"
"Asian","Not Hispanic or Latino","Male","343","Months"
"Asian","Not Hispanic or Latino","Female","292","Months"
"Asian","Not Hispanic or Latino","Female","271","Months"
"Asian","Not Hispanic or Latino","Female","280","Months"
"Asian","Not Hispanic or Latino","Female","239","Months"
"Asian","Not Hispanic or Latino","Male","289","Months"
"Asian","Not Hispanic or Latino","Male","181","Months"
"Asian","Not Hispanic or Latino","Male","324","Months"
"Asian","Not Hispanic or Latino","Female","245","Months"
"Asian","Not Hispanic or Latino","Female","228","Months"
"Asian","Not Hispanic or Latino","Female","274","Months"
"Asian","Not Hispanic or Latino","Male","224","Months"
"Black","Not Hispanic or Latino","Female","286","Months"
"Black","Not Hispanic or Latino","Male","343","Months"
"Black","Not Hispanic or Latino","Female","304","Months"
"Black","Not Hispanic or Latino","Male","287","Months"
"Black","Not Hispanic or Latino","Female","336","Months"
"Black","Not Hispanic or Latino","Male","304","Months"
"Black","Not Hispanic or Latino","Female","238","Months"
"Black","Not Hispanic or Latino","Female","216","Months"
"Black","Not Hispanic or Latino","Female","342","Months"
"Black","Not Hispanic or Latino","Female","384","Months"
"White","Not Hispanic or Latino","Male","255","Months"
"White","Hispanic or Latino","Female","202","Months"
"White","Not Hispanic or Latino","Male","371","Months"
"White","Not Hispanic or Latino","Female","284","Months"
"White","Not Hispanic or Latino","Male","248","Months"
"White","Not Hispanic or Latino","Female","281","Months"
"White","Not Hispanic or Latino","Female","268","Months"
"White","Hispanic or Latino","Female","283","Months"
"White","Not Hispanic or Latino","Female","283","Months"
"White","Not Hispanic or Latino","Female","274","Months"
"White","Not Hispanic or Latino","Female","241","Months"
"White","Hispanic or Latino","Female","241","Months"
"White","Not Hispanic or Latino","Female","283","Months"
"White","Not Hispanic or Latino","Female","238","Months"
"White","Not Hispanic or Latino","Female","373","Months"
"White","Not Hispanic or Latino","Male","350","Months"
"White","Not Hispanic or Latino","Female","235","Months"
"White","Not Hispanic or Latino","Female","332","Months"
"White","Not Hispanic or Latino","Female","290","Months"
"White","Not Hispanic or Latino","Female","252","Months"
"White","Not Hispanic or Latino","Female","341","Months"
"White","Not Hispanic or Latino","Female","248","Months"
"White","Hispanic or Latino","Female","315","Months"
"White","Not Hispanic or Latino","Female","279","Months"
"White","Not Hispanic or Latino","Male","265","Months"
"White","Hispanic or Latino","Male","280","Months"
"White","Not Hispanic or Latino","Female","257","Months"
"White","Hispanic or Latino","Male","216","Months"
"White","Not Hispanic or Latino","Female","256","Months"
"White","Not Hispanic or Latino","Female","243","Months"
"White","Not Hispanic or Latino","Female","301","Months"
"White","Not Hispanic or Latino","Female","241","Months"
"White","Not Hispanic or Latino","Female","325","Months"
"White","Not Hispanic or Latino","Male","305","Months"
"White","Not Hispanic or Latino","Male","264","Months"
"White","Not Hispanic or Latino","Male","261","Months"
"White","Not Hispanic or Latino","Female","249","Months"
"White","Not Hispanic or Latino","Male","313","Months"
"White","Hispanic or Latino","Female","224","Months"
"White","Not Hispanic or Latino","Male","387","Months"
"More than one race","Hispanic or Latino","Female","226","Months"
"More than one race","Not Hispanic or Latino","Male","255","Months"
"More than one race","Not Hispanic or Latino","Male","315","Months"
"More than one race","Not Hispanic or Latino","Female","229","Months"
"More than one race","Not Hispanic or Latino","Female","281","Months"
"More than one race","Hispanic or Latino","Male","242","Months"
"More than one race","Not Hispanic or Latino","Female","279","Months"
"More than one race","Hispanic or Latino","Female","299","Months"
"More than one race","Not Hispanic or Latino","Female","349","Months"
"More than one race","Not Hispanic or Latino","Female","334","Months"
"More than one race","Not Hispanic or Latino","Female","318","Months"
"More than one race","Hispanic or Latino","Male","278","Months"
"More than one race","Not Hispanic or Latino","Female","271","Months"
"Unknown","Not Hispanic or Latino","Female","290","Months"
"Unknown","Hispanic or Latino","Female","254","Months"
"Unknown","Hispanic or Latino","Male","267","Months"
"Unknown","Hispanic or Latino","Female","267","Months"
